redispatch_name,plant_id,matched_name,fueltype,capacity_mw,confidence,source,reasoning,needs_review
Netzreservekraftwerk Weiher C,264,Weiher,Hard Coal,655.6,high,claude,Weiher is a hard coal reserve power plant in Saarland (Völklingen); id=264 'Weiher' at 655.6 MW Hard Coal Steam Turbine at 49.334°N 7.028°E directly matches block C of this network reserve plant.,
OWP UW Büttel,,,,,none,unmatched,"OWP UW Büttel refers to an offshore wind park substation/grid connection point at Büttel in Schleswig-Holstein, but none of the candidates in the list correspond to this offshore wind facility.",YES
Vorarlberger Ilwerke,,,,,none,unmatched,Vorarlberger Illwerke is an Austrian hydro power operator in Vorarlberg; none of the listed candidates correspond to this Austrian hydropower company.,YES
50H Halle-Trotha HKW,2776,Halle Trotha,Natural Gas,126.991,high,claude,"id=2776 'Halle Trotha' is a Natural Gas CCGT at 127 MW located at 51.491°N 11.968°E, directly matching the Halle-Trotha HKW (heating power plant) in Halle (Saale).",
50H Hamburg Tiefstack GuD,3249,Gud Tiefstack,Natural Gas,100.0,high,claude,"id=3249 'Gud Tiefstack' is a Natural Gas CCGT at 100 MW at 53.526°N 10.066°E, directly corresponding to the GuD (gas-and-steam combined cycle) unit at the Tiefstack plant in Hamburg.",
50H OWP Wikinger,,,,,none,unmatched,"OWP Wikinger is a well-known offshore wind park in the Baltic Sea operated by Iberdrola, but no candidate in the list corresponds to this offshore wind facility.",YES
50H UW Bertikow,144832,Windpark Bertikow,Wind,5.56,medium,claude,UW Bertikow refers to a substation/grid node near Bertikow in Brandenburg; id=144832 'Windpark Bertikow' at 5.6 MW Wind Onshore at 53.372°N 13.955°E is the closest named match in the candidate list.,
SW München KW-Pool,,,,,none,unmatched,"SW München KW-Pool refers to a pool of power plants operated by Stadtwerke München, but none of the candidates clearly represent this Munich utility's combined plant pool.",YES
50H PV Witznitz,,,,,none,unmatched,"PV Witznitz refers to a large solar park near Witznitz in Saxony, but none of the PV candidates in the list match this specific location.",YES
Knapsack 1,722,Knapsack,Natural Gas,1326.0,high,claude,"id=722 'Knapsack' is a Natural Gas CCGT at 1326 MW at 50.859°N 6.845°E, directly matching the Knapsack power station near Hürth operated by Triton/Statkraft, with Block 1 being part of this facility.",
Emsland Block B,1157,Emsland,Natural Gas,1877.0,high,claude,"id=1157 'Emsland' is a Natural Gas CCGT at 1877 MW at 52.480°N 7.305°E, matching the Emsland gas power plant (RWE) near Lingen; Block B refers to one of its CCGT units.",
50H OWP Arkona,30790,Arkona Becken Sud Ost,Wind,6.3,high,claude,OWP Arkona (Arkona-Becken Südost) is an offshore wind park in the Baltic Sea; id=30790 'Arkona Becken Sud Ost' at 6.3 MW Wind Offshore at 54.788°N 14.123°E is the best matching candidate.,
Emsland Block D,1157,Emsland,Natural Gas,1877.0,high,claude,"Emsland Block D refers to a block of the Emsland natural gas CCGT power plant (id=1157, 1877 MW) located at 52.480°N 7.305°E, which matches the location and energy type perfectly.",
LAUSWARD_GUDF,8669,Lausward Phase,Hard Coal,450.4,high,claude,"Lausward is the power plant location in Düsseldorf; 'GUDF' likely refers to a GUD (combined cycle) unit at Lausward. id=8669 'Lausward Phase' is a hard coal steam turbine at 51.221°N 6.732°E, which is the Lausward plant — the GUD unit there is operated alongside the coal units under the same site name.",
Reservekraftwerk Walheim Block 2,596,Walheim,Hard Coal,380.0,high,claude,"Walheim is a hard coal steam turbine plant (id=596, 380 MW) at 49.017°N 9.159°E, directly matching the 'Walheim Block 2' reserve power plant name and energy type.",
Heizkraftwerk Heilbronn Block 7,318,Heilbronn,Hard Coal,1028.0,high,claude,"The Heizkraftwerk Heilbronn Block 7 matches id=318 'Heilbronn', a large hard coal steam turbine (1028 MW) at 49.175°N 9.208°E, which is the EnBW Heilbronn power plant with multiple blocks including Block 7.",
Emsland Block C,1157,Emsland,Natural Gas,1877.0,high,claude,"Emsland Block C refers to another block of the Emsland natural gas CCGT plant (id=1157, 1877 MW) at 52.480°N 7.305°E, same as Block D — the plant has multiple blocks (A, B, C, D) all under the same database entry.",
NIEHL-31-GUD,1148,Gud Niehl Rheinenergie,Natural Gas,874.0,high,claude,"Niehl is a district in Cologne; id=1148 'Gud Niehl Rheinenergie' is a natural gas CCGT plant (874 MW) at 50.974°N 6.988°E, directly matching the Niehl GUD reference.",
WEISWEILER_G,258,Weissweiler,Lignite,2361.0,high,claude,Weisweiler is a major lignite power plant in NRW; id=258 'Weissweiler' (2361 MW lignite steam turbine at 50.837°N 6.319°E) is the correct match — the '_G' suffix likely denotes a specific generating unit/block.,
Rheinhafen-Dampfkraftwerk Karlsruhe Block 8,314,Rheinhafen Dampfkraftwerk,Hard Coal,1704.0,high,claude,"id=314 'Rheinhafen Dampfkraftwerk' is a hard coal steam turbine (1704 MW) at 49.013°N 8.303°E, directly matching the Rheinhafen-Dampfkraftwerk Karlsruhe (RDK) plant with its Block 8.",
OWP UW Dörpen-West,,,,,none,unmatched,"None of the candidates match an offshore wind park (OWP) or substation (UW) at Dörpen-West in Lower Saxony; the offshore wind candidates (Dantysk, Kaskasi, Sandbank) are in the North Sea and unrelated to Dörpen.",YES
50H OWP Arcadis Ost 1,30734,Arcadis Ost,Wind,257.175,high,claude,"id=30734 'Arcadis Ost' is a wind offshore plant (257.2 MW) at 54.818°N 13.657°E in the Baltic Sea, directly matching '50H OWP Arcadis Ost 1' operated under 50Hertz.",
ReserveKW Staudinger 5,699,Staudinger,Hard Coal,1102.0,high,claude,"id=699 'Staudinger' is a hard coal steam turbine (1102 MW) at 50.088°N 8.952°E; Block 5 of Kraftwerk Staudinger is a well-known reserve power plant unit, matching perfectly.",
50H UW Iven,159413,Wp Iven,Wind,8.05,high,claude,"id=159413 'Wp Iven' is a wind onshore plant (8.1 MW) at 53.797°N 13.395°E in Mecklenburg-Vorpommern, matching the 50Hertz grid substation (UW) Iven area; id=148565 'Windpark Iven Japezin' is nearby but smaller and less direct a match.",
HAMMUENTROP_10,70729,Ha,Other,70.375,medium,claude,"HAMMUENTROP refers to the Hamm-Uentrop location in NRW; id=70729 'Ha' is an Other Steam Turbine (70.4 MW) at 50.848°N 9.958°E, which is the closest match to a conventional plant associated with Hamm-Uentrop — the suffix '_10' likely denotes a unit number.",
HERDECKE_H6,719,Cuno Herdecke Bhkw,Natural Gas,423.03,high,claude,"HERDECKE_H6 refers to a unit at the Herdecke plant; id=719 'Cuno Herdecke Bhkw' is a natural gas CCGT (423 MW) at 51.404°N 7.416°E, which is the main large power plant at Herdecke and the most plausible match for a numbered unit.",
Rostock Kohlekraftwerk,319,Kng Rostock,Hard Coal,514.0,high,claude,"id=319 'Kng Rostock' is a hard coal steam turbine (514 MW) at 54.141°N 12.131°E, directly matching the Rostock coal power plant (Kohlekraftwerk).",
HAMMUENTROP_20,70729,Ha,Other,70.375,medium,claude,"Same as HAMMUENTROP_10, this refers to the Hamm-Uentrop site; id=70729 'Ha' (Other Steam Turbine, 70.4 MW) is the only candidate consistent with the Hamm-Uentrop conventional plant, with '_20' denoting a different unit number.",
